"ID","Title","Date","Location","Author","Source","Image Path","record","Note","Code","Period","Regional_Style","Name","Body_Shape","Soundbox_Chamber_Count","Form","Body_Neck_Boundary","Neck_Width","Waist_Presence","Neck_Length","Soundhole_Count","Maximum_String_Count","Pegbox Presence","Head_Angle","Code","Obvious_Plectrum","Collection","Soundhole_Shape","Obvious_Pickguard","Obvious_Fret","Citation_1","Source_Type_2","Source_Type_3","Source_Type_4","Citation_2","Source_Type_1","Citation_3","Citation_4"
"LI-087","MG-21","","Mogao Cave","","","","2026-06-04T11:50:11.036Z","","MG-21","535-556 CE","China","Mogao 228 Music Scene","waterdrop","single","Painting","smooth","parallel","no","short","0","n","yes","bent_backwards","MG-21","TRUE","in_situ","n","FALSE","FALSE","Gao, 2008, p. 45","","","","","catalogue","",""
"LI-088","MG-22","","Mogao Cave","","","","2026-06-04T11:50:11.036Z","","MG-22","366-439 CE","China","Mogao 275 Music Scene","waterdrop","single","Painting","obtuse","parallel","no","short","2","4","yes","bent_backwards","MG-22","TRUE","in_situ","ring","TRUE","FALSE","Gao, 2008, p. 42","","","","","catalogue","",""
"LI-089","MG-23","","Mogao Cave","","","","2026-06-04T11:50:11.036Z","","MG-23","535-556 CE","China","Mogao 285 Music Scene 1","round","single","Painting","perpendicular","parallel","no","short","0","4","yes","straight","MG-23","FALSE","in_situ","n","TRUE","TRUE","Gao, 2008, p. 48","","","","","catalogue","",""
"LI-090","MG-24","","Mogao Cave","","","","2026-06-04T11:50:11.036Z","","MG-24","535-556 CE","China","Mogao 285 Music Scene 2","waterdrop","single","Painting","smooth","tapering","no","short","0","4","yes","bent_backwards","MG-24","FALSE","in_situ","n","FALSE","FALSE","Gao, 2008, p. 305","","","","","catalogue","",""
"LI-091","MG-25","","Mogao Cave","","","","2026-06-04T11:50:11.036Z","","MG-25","535-556 CE","China","Mogao 285 Music Scene 3","waterdrop","single","Painting","smooth","tapering","no","short","0","5","yes","bent_backwards","MG-25","FALSE","in_situ","n","TRUE","FALSE","Gao, 2008, p. 305","","","","","catalogue","",""
"LI-092","MG-26","","Mogao Cave","","","","2026-06-04T11:50:11.036Z","","MG-26","557-580 CE","China","Mogao 297 Music Scene","waterdrop","single","Painting","smooth","parallel","no","short","2","4","yes","bent_backwards","MG-26","FALSE","in_situ","crescent","FALSE","FALSE","Gao, 2008, p. 145","","","","","catalogue","",""
"LI-082","MG-16","","Mogao Cave","","","","2026-06-04T11:50:11.035Z","","MG-16","705–780 CE","China","Mogao 172 Music Scene 2","waterdrop","single","Painting","obtuse","tapering","no","short","0","5","yes","straight","MG-16","FALSE","in_situ","n","TRUE","FALSE","Gao, 2008, p. 65","","","","","catalogue","",""
"LI-083","MG-17","","Mogao Cave","","","","2026-06-04T11:50:11.035Z","","MG-17","705–780 CE","China","Mogao 172 Music Scene 3","round","single","Painting","perpendicular","parallel","no","long","0","n","yes","straight","MG-17","FALSE","in_situ","n","TRUE","FALSE","Gao, 2008, p. 100","","","","","catalogue","",""
"LI-084","MG-18","","Mogao Cave","","","","2026-06-04T11:50:11.035Z","","MG-18","705–780 CE","China","Mogao 217 Music Scene Ruan","round","single","Painting","perpendicular","parallel","no","short","0","n","yes","straight","MG-18","FALSE","in_situ","n","TRUE","TRUE","Gao, 2008, p. 282","","","","","catalogue","",""
"LI-085","MG-19","","Mogao Cave","","","","2026-06-04T11:50:11.035Z","","MG-19","618-704 CE","China","Mogao 220 Music Scene 1","floral","single","Painting","perpendicular","tapering","no","short","0","6","yes","bent_backwards","MG-19","FALSE","in_situ","n","TRUE","TRUE","Gao, 2008, p. 191","","","","","catalogue","",""
"LI-086","MG-20","","Mogao Cave","","","","2026-06-04T11:50:11.035Z","","MG-20","618-704 CE","China","Mogao 220 Music Scene 2","waterdrop","single","Painting","smooth","tapering","no","short","2","4","yes","straight","MG-20","TRUE","in_situ","crescent","TRUE","TRUE","Gao, 2008, p. 43","","","","","catalogue","",""
"LI-078","MG-12","","Mogao Cave","","","","2026-06-04T11:50:11.033Z","","MG-12","848-906 CE","China","Mogao 156 Music Scene","ovoid","single","Painting","obtuse","parallel","no","short","0","4","yes","straight","MG-12","TRUE","in_situ","n","TRUE","FALSE","Gao, 2008, p. 77","","","","","catalogue","",""
"LI-079","MG-13","","Mogao Cave","","","","2026-06-04T11:50:11.034Z","","MG-13","781-847 CE","China","Mogao 159 Music Scene","ovoid","single","Painting","smooth","parallel","no","short","2","n","yes","straight","MG-13","TRUE","in_situ","crescent","TRUE","FALSE","Gao, 2008, p. 149","","","","","catalogue","",""
"LI-080","MG-14","","Mogao Cave","","","","2026-06-04T11:50:11.034Z","","MG-14","848-906 CE","China","Mogao 161 Music Scene","ovoid","single","Painting","obtuse","parallel","no","short","0","4","yes","straight","MG-14","TRUE","in_situ","n","TRUE","FALSE","Gao, 2008, p. 54","","","","","catalogue","",""
"LI-081","MG-15","","Mogao Cave","","","","2026-06-04T11:50:11.034Z","","MG-15","705–780 CE","China","Mogao 172 Music Scene 1","round","single","Painting","perpendicular","parallel","no","long","0","4","yes","straight","MG-15","FALSE","in_situ","n","TRUE","FALSE","Gao, 2008, p. 12","","","","","catalogue","",""
"LI-073","MG-07","","Mogao Cave","","","","2026-06-04T11:50:11.033Z","","MG-07","781-847 CE","China","Mogao 112 Music Scene 3","round","single","Painting","obtuse","parallel","no","long","0","n","no","straight","MG-07","FALSE","in_situ","n","TRUE","FALSE","Gao, 2008, p. 95","","","","","catalogue","",""
