Code,Name,Location,Regional_Style,Period,Form,Body_Shape,Soundbox_Chamber_Count,Waist_Presence,Neck_Length,Neck_Width,Body_Neck_Boundary,Head_Angle,Pegbox Presence,Maximum_String_Count,Soundhole_Count,Soundhole_Shape,Obvious_Fret,Obvious_Plectrum,Obvious_Pickguard,Code,Collection,Source_Type_1,Citation_1,Source_Type_2,Citation_2,Source_Type_3,Citation_3,Source_Type_4,Citation_4
KM-02,Kumutula 58 Lute 1,Kumutula,Tarim_Basin,700-800 CE,Painting,waterdrop,single,no,short,tapering,smooth,bent_backwards,yes,4,0,n,FALSE,FALSE,FALSE,KM-02,in_situ,catalogue,"General Editorial Board of The Great Series of Chinese Musical Artifacts, 1999, p. 134",,,,,,
KM-03,Kumutula 58 Lute 2,Kumutula,Tarim_Basin,700-800 CE,Painting,waterdrop,single,no,short,tapering,smooth,bent_backwards,yes,5,0,n,FALSE,FALSE,FALSE,KM-03,in_situ,catalogue,"General Editorial Board of The Great Series of Chinese Musical Artifacts, 1999, p. 136",,,,,,
KN-01,"Monkey Playing Lute, in Russia",Khotan,Tarim_Basin,100-300 CE,Figurine,waterdrop,single,no,short,tapering,smooth,straight,n,4,4,ring,FALSE,TRUE,FALSE,KN-01,?,literature,"Dzhani-zade, 2006, p. 132",catalogue,"Besseler & Schneider, 1987, p. 147",,,,
KP-01,Khantepa Long Neck Lute ,Khantepa,Transoxiana,500-650 CE,Relief,spade,single,no,long,parallel,smooth,straight,n,3,0,n,FALSE,TRUE,FALSE,KP-01,?,literature,"Muradova,2017, p. 13",,,,,,
KR-01,Kampyrtepa Lute Player Figurine,Kampyrtepa,Bactria,0-200 CE,Figurine,round,single,no,short,parallel,perpendicular,straight,n,7,0,n,FALSE,FALSE,FALSE,KR-01,?,literature,"Muradova,2017, p. 13",,,,,,
KZ-01,Kizil 8 ,Kizil,Tarim_Basin,600-700 CE,Painting,waterdrop,single,no,short,tapering,smooth,straight,yes,5,0,n,FALSE,FALSE,FALSE,KZ-01,in_situ,catalogue,"General Editorial Board of The Great Series of Chinese Musical Artifacts, 1999, p. 29",,,,,,
KZ-02,Kizil 14 Lute1,Kizil,Tarim_Basin,500-600 CE,Painting,waterdrop,single,no,short,tapering,smooth,straight,yes,5,0,n,FALSE,TRUE,FALSE,KZ-02,in_situ,catalogue,"General Editorial Board of The Great Series of Chinese Musical Artifacts, 1999, p. 34",,,,,,
KZ-03,Kizil 14 Lute2,Kizil,Tarim_Basin,500-600 CE,Painting,round,single,no,long,tapering,perpendicular,bent_backwards,yes,4,0,n,FALSE,FALSE,TRUE,KZ-03,in_situ,catalogue,"General Editorial Board of The Great Series of Chinese Musical Artifacts, 1999, p. 34",,,,,,
KZ-04,Kizil 38 Lute1,Kizil,Tarim_Basin,300-400 CE,Painting,round,single,no,long,tapering,perpendicular,bent_backwards,yes,n,0,n,FALSE,FALSE,FALSE,KZ-04,in_situ,catalogue,"General Editorial Board of The Great Series of Chinese Musical Artifacts, 1999, p. 37",,,,,,
KZ-05,Kizil 38 Lute2,Kizil,Tarim_Basin,300-400 CE,Painting,waterdrop,single,no,short,tapering,smooth,straight,yes,3,0,n,FALSE,TRUE,FALSE,KZ-05,in_situ,catalogue,"General Editorial Board of The Great Series of Chinese Musical Artifacts, 1999, p. 38",,,,,,
KZ-06,Kizil 69 Lute,Kizil,Tarim_Basin,500-600 CE,Painting,waterdrop,single,no,short,tapering,smooth,straight,yes,3,0,n,FALSE,FALSE,FALSE,KZ-06,in_situ,catalogue,"General Editorial Board of The Great Series of Chinese Musical Artifacts, 1999, p. 46",,,,,,
KZ-07,Kizil 77 Lute 1,Kizil,Tarim_Basin,300-400 CE,Painting,round,single,no,long,parallel,perpendicular,straight,yes,3,2,ring,FALSE,FALSE,FALSE,KZ-07,in_situ,catalogue,"General Editorial Board of The Great Series of Chinese Musical Artifacts, 1999, p. 50",,,,,,
KZ-08,Kizil 77 Lute 2,Kizil,Tarim_Basin,300-400 CE,Painting,round,single,no,long,parallel,perpendicular,n,n,4,2,spiral,FALSE,TRUE,FALSE,KZ-08,in_situ,catalogue,"General Editorial Board of The Great Series of Chinese Musical Artifacts, 1999, p. 66",,,,,,
KZ-09,Kizil 118 Lute,Kizil,Tarim_Basin,200-300 CE,Painting,round,single,no,long,parallel,perpendicular,straight,yes,4,2,spiral,FALSE,TRUE,FALSE,KZ-09,in_situ,catalogue,"General Editorial Board of The Great Series of Chinese Musical Artifacts, 1999, p. 79",,,,,,
